listtype,sorttype,size,time
random,Insertion,1000,0.0015836669990676455
random,Merge,1000,0.0009530000024824403
random,Quick,1000,0.0007650000043213367
random,Insertion,10000,0.09961112499877345
random,Merge,10000,0.013348291999136563
random,Quick,10000,0.01067829199746484
random,Insertion,15000,0.22699316700163763
random,Merge,15000,0.020718250001664273
random,Quick,15000,0.01562874999945052
random,Insertion,25000,0.6513407079983153
random,Merge,25000,0.0355444999950123
random,Quick,25000,0.028180249995784834
random,Insertion,50000,2.7441255830053706
random,Merge,50000,0.07530270800634753
random,Quick,50000,0.063457958996878
random,Insertion,100000,11.723246415996982
random,Merge,100000,0.15871141599927796
random,Quick,100000,0.14752379200217547
random,Insertion,1000000,11.723246415996982
random,Merge,1000000,1.9720812079976895
random,Quick,1000000,4.206296125004883
reversed,Insertion,1000,0.002024082998104859
reversed,Merge,1000,0.0008175830007530749
reversed,Quick,1000,0.0008058749954216182
reversed,Insertion,10000,0.27172191700083204
reversed,Merge,10000,0.01050920800480526
reversed,Quick,10000,0.00938841700553894
reversed,Insertion,15000,0.4830144170045969
reversed,Merge,15000,0.01709800000389805
reversed,Quick,15000,0.01489741600380512
reversed,Insertion,25000,1.5895289999971283
reversed,Merge,25000,0.029380166000919417
reversed,Quick,25000,0.02573041699361056
